request_id,origin_label,dest_label,o_lat,o_lon,d_lat,d_lon,dest_name,od_travel_time_min,tw_lower_min,tw_lower_str,tw_arrival_idx,tw_batch_pos,req_type,companions,route_mode
1,O1,D1,23.671010200000005,120.47670970000001,23.6971893,120.5259688,斗六臺大醫院,6.9,511,08:31,1,1,a,1,ok
2,O2,D2,23.6618997,120.4732761,23.59657115924419,120.4570574328335,大林慈濟醫院,7.79,511,08:31,1,2,a,1,ok
3,O3,D3,23.6730956,120.4840028,23.702303630898847,120.52991509874099,佛教斗六慈濟醫院,5.84,512,08:32,2,1,c,1,ok
4,O4,D4,23.680268500000004,120.48171290000002,23.59012378702721,120.30729121027507,中國醫藥大學北港附設醫院,27.28,512,08:32,2,2,c,2,ok
5,O5,D5,23.667260399999993,120.4981046,23.701862277709125,120.54578009996398,成大醫院斗六分院,8.75,518,08:38,3,1,a,1,ok
6,O6,D6,23.6833603,120.4825034,23.6971893,120.5259688,斗六臺大醫院,5.35,579,09:39,4,1,c,0,ok
7,O7,D7,23.6649163,120.445395,23.708492413453005,120.43828331693344,若瑟醫院,9.19,579,09:39,5,1,a,0,ok
8,O8,D8,23.6434135,120.5027529,23.705820083618164,120.45523071289062,住家,11.38,579,09:39,5,2,a,1,ok
9,O9,D9,23.6730288,120.45550220000001,23.6971893,120.5259688,斗六臺大醫院,9.22,579,09:39,6,1,a,1,ok
10,O10,D10,23.661513599999996,120.4728612,23.797260284423828,120.46209716796875,住家,13.32,579,09:39,6,2,a,1,ok
11,O11,D11,23.683252700000004,120.4462838,23.680601119995117,120.47796630859375,住家,4.93,579,09:39,7,1,a,1,ok
12,O12,D12,23.671065699999996,120.46959400000001,23.708492413453005,120.43828331693344,若瑟醫院,7.7,579,09:39,8,1,c,2,ok
13,O13,D13,23.692932600000002,120.4662414,23.6971893,120.5259688,斗六臺大醫院,7.62,580,09:40,9,1,a,0,ok
14,O14,D14,23.632379499999995,120.42795990000002,23.6971893,120.5259688,斗六臺大醫院,15.93,581,09:41,10,1,a,1,ok
15,O15,D15,23.644681199999997,120.42937750000002,23.6971893,120.5259688,斗六臺大醫院,13.92,581,09:41,10,2,c,1,ok
16,O16,D16,23.6294986,120.4413789,23.6971893,120.5259688,斗六臺大醫院,14.54,581,09:41,11,1,a,1,ok
17,O17,D17,23.668673399999996,120.47352559999999,23.7350302896249,120.42687610428565,虎尾台大分院,11.94,581,09:41,11,2,a,1,ok
18,O18,D18,23.642118799999995,120.4812682,23.6971893,120.5259688,斗六臺大醫院,9.88,581,09:41,11,3,c,1,ok
19,O19,D19,23.6396353,120.4013529,23.59012378702721,120.30729121027507,中國醫藥大學北港附設醫院,17.97,581,09:41,11,4,a,1,ok
20,O20,D20,23.6715279,120.4753522,23.6971893,120.5259688,斗六臺大醫院,7.55,585,09:45,12,1,a,1,ok
21,O21,D21,23.6719603,120.4766583,23.708492413453005,120.43828331693344,若瑟醫院,7.59,595,09:55,13,1,c,2,ok
22,O22,D22,23.669735799999994,120.4714782,23.702303630898847,120.52991509874099,佛教斗六慈濟醫院,8.29,595,09:55,13,2,a,1,ok
23,O23,D23,23.690301200000004,120.4655603,23.780712109611365,120.44136548941536,雲林基督教醫院,12.91,960,16:00,14,1,b,0,ok
24,O24,D24,23.6910961,120.4798623,23.59012378702721,120.30729121027507,中國醫藥大學北港附設醫院,26.33,960,16:00,14,2,c,1,ok
25,O25,D25,23.6701624,120.47792789999998,23.7350302896249,120.42687610428565,虎尾台大分院,11.54,960,16:00,15,1,b,1,ok
26,O26,D26,23.633228000000003,120.46101370000001,23.701862277709125,120.54578009996398,成大醫院斗六分院,13.5,960,16:00,15,2,a,1,ok
27,O27,D27,23.6859629,120.49674900000001,23.708492413453005,120.43828331693344,若瑟醫院,8.68,1014,16:54,16,1,a,1,ok
28,O28,D28,23.6765002,120.4774962,23.6971893,120.5259688,斗六臺大醫院,6.41,1049,17:29,17,1,a,1,ok
29,O29,D29,23.6423822,120.42742730000002,23.701862277709125,120.54578009996398,成大醫院斗六分院,16.84,1049,17:29,17,2,a,1,ok
30,O30,D30,23.670613299999992,120.4771206,23.701862277709125,120.54578009996398,成大醫院斗六分院,9.24,1049,17:29,17,3,a,0,ok
